index,question,answer,Usage
test_0200,রমনীলাল কিরচাঁদ গান্ধীর পিতা কে ছিলেন?,মহাত্মা গান্ধী।,Private
test_0201,ইসাক রোমেরো কোন তারিখে জন্মগ্রহণ করেছেন?,১৬ই এপ্রিল।,Public
test_0202,রাষ্ট্রবাদী শিবসেনার নামের অর্থ কী?,ন্যাশনালিস্ট শিব আর্মি।,Public
test_0203,সুদেশ লহরী কোন ধরনের ছবিতে অভিনয় করেছেন?,পাঞ্জাবি ও হিন্দি।,Public
test_0204,মথুরা ধর্ষণ মামলার পর সোনাল শুক্লা কোন নিউজলেটারের মাধ্যমে ব্যাপক প্রতিবাদ ছড়িয়ে পড়ে?,ফেমিনিস্ট নেটওয়ার্ক।,Public
test_0205,সংসদ শব্দটি কোন ভাষাগোষ্ঠীর ভাষায় ব্যবহৃত হয়?,ইন্দো-আর্য।,Public
test_0206,কমল কৃষ্ণ দাস ভারতের সংসদের কোন কক্ষে নির্বাচিত হন?,লোকসভা।,Public
test_0207,গ্রীষ্মকালে দশাশ্বমেধ ঘাটে আরতি কখন শুরু হয়?,৭ টা।,Private
test_0208,রোলা কোলা কবে সিবিএল ড্রিংকস দ্বারা যুক্তরাজ্যে পুনরায় চালু হয়?,২০১৩ সালে।,Public
test_0209,বাংলাদেশ সেনাবাহিনীতে বর্তমানে কতজন লেফটেন্যান্ট জেনারেল রয়েছে?,৫ জন।,Public
test_0210,জাম্পেই আইডা কোন কোন আন্তর্জাতিক টুর্নামেন্টে ম্যাচ পরিচালনা করেছেন?,ইএএফএফ চ্যাম্পিয়নশিপ এবং এএফসি কাপ।,Public
test_0211,কিশোরগঞ্জ শব্দটির অর্থ কী?,বিভিন্ন।,Public
test_0212,ট্যুরিস্ট পুলিশের কোন নম্বর বিভাগ খুলনা—বরিশাল বিভাগে অবস্থিত?,৩।,Private
test_0213,মালদ্বীপের উপকূল রক্ষীবাহিনী কোন সংস্থার অংশ?,এমএনডিএফ।,Public
test_0214,ডেভিড বেকার কবে আমেরিকান একাডেমি অফ আর্টস অ্যান্ড সায়েন্সের ফেলো নির্বাচিত হন?,২০০৯।,Private
test_0215,পূর্ব এশীয় জুডো চ্যাম্পিয়নশিপ কোন বছর ব্যতীত প্রতি বছর অনুষ্ঠিত হয়?,পূর্ব এশীয় গেমস অনুষ্ঠিত হয়েছে এমন বছর।,Private
test_0216,কেনে প্রতিযোগিতার সাথে সম্পর্কিত কুস্তির ধরন কী?,নাগা।,Public
test_0217,জতুগৃহে কে কে বেঁচে থাকতে সক্ষম হয়েছিল?,পঞ্চপান্ডব।,Private
test_0218,ব্র্যাড পিট কোন চলচ্চিত্রের মাধ্যমে বড় বাজেটের চলচ্চিত্রে অভিনয় শুরু করেন?,আ রিভার রান্‌স থ্রু ইট এবং ইন্টারভিউ উইথ দ্য ভ্যাম্পায়ার।,Public
test_0219,বেলগাছা ইউনিয়নের নামকরণের কারণ কী?,বেলগাছের প্রাচুর্য।,Public
test_0220,লরেন্স এইচ. হোয়াইট কোন ধারণার চেতনায় বিনামূল্যে ব্যাঙ্কিংয়ের পক্ষে যুক্তি দিয়েছিলেন?,"হায়েকের ""অর্থের বর্জনীয়করণ""।",Private
test_0221,"কখন পরিচালক অ্যাশবির সংস্করণের ছবি ""লুকিন’ টু গেট আউট"" মুক্তি পায়?","৩০ জুন, ২০০৯।",Public
test_0222,জয়বাণ কামানটি কত কিলোগ্রাম গানপাউডারের চার্জ সহ নিক্ষেপ করা হয়েছিল?,১০০ কিলোগ্রাম।,Public
test_0223,জুলিয়া আর. হলের চিকিৎসাশাস্ত্রে কর্মজীবনের সময়কাল কীভাবে পরিমাপ করা হয়?,বছর।,Public
test_0224,অমিয় কুমার কিস্কু কোন রাজ্যের ঝাড়গ্রাম আসন থেকে লোকসভায় নির্বাচিত হয়েছিলেন?,পশ্চিমবঙ্গ।,Public
test_0225,হাংরি প্রজন্মের কবিতায় কবিতাকে কীভাবে মৌলিক হতে দেয়া হয়?,সমস্ত সাহায্য প্রত্যাখ্যান।,Public
test_0226,ডেনিজকান টেমিজকান কোন বয়সের গ্রুপে ইউরোপীয় স্কুল দাবা চ্যাম্পিয়নশিপ জিতেছিলেন ২০১৩ সালে?,অনুর্ধ-১৩।,Private
test_0227,কোকুরা কিটা ওয়ার্ডের সানাৎসু বাস ডিপোর পাশে কোন শপিং সেন্টারটি গড়ে তোলা হয়েছে?,ছা ছা শহর।,Public
test_0228,কোচ ভাষা কোন ভাষা পরিবারের অন্তর্গত?,তিব্বতী-বর্মী ভাষা।,Public
test_0229,টরন্টো ফুটবল ক্লাব ঘরোয়া ফুটবলে কতগুলি শিরোপা জয়লাভ করেছে?,১০টি।,Public
test_0230,"""জিএসআরএস"" বোর্ডে কোন সংস্থাগুলির বিশেষজ্ঞরা রয়েছেন?","এফডিএ, ইউরোপীয় নিয়ন্ত্রক সংস্থা এবং ইউএসপি।",Public
test_0231,এলটন জন কখন সঙ্গীত ভুবনে পদার্পণ করেন?,জিসিই এডভান্সড লেভেল বা এ লেভেল পরীক্ষার পূর্ব মুহুর্তে।,Public
test_0232,আবদুর রব কোথা থেকে আইনে ডিগ্রি সম্পন্ন করেন?,ঢাকা বিশ্ববিদ্যালয়।,Public
test_0233,৪৭তম জাতীয় চলচ্চিত্র পুরস্কার কোন সালে প্রদান করা হয়?,২০২৩।,Public
test_0234,কালিয়াকৈর নামকরণের সঠিক ইতিহাস কীভাবে জানা যায়?,জানা যায় না।,Public
test_0235,মোহাম্মদ জাহাঙ্গীর আলম কবে ভূমিকম্প প্রকৌশলের উপর পোস্ট গ্র্যাজুয়েট ফেলোশিপ লাভ করেন?,১৯৯৭।,Public
test_0236,১৯৮৯ সালে সিকিম বিধানসভা নির্বাচনে আরআইএস কতগুলি আসন জিতেছে?,০।,Public
test_0237,আপ কি আদালত অনুষ্ঠানে কোন বছর শিবসেনার প্রতিষ্ঠাতা বাল ঠাকরে অতিথি হিসেবে এসেছিলেন?,১৯৯৫।,Private
test_0238,মেইন সিগারেট কোন সংস্থা দ্বারা উত্পাদিত হয়?,হাউস অফ প্রিন্স।,Private
test_0239,ক্লাব সিগারেট কোন দেশের মার্কার সিগারেট?,জার্মান।,Public
test_0240,সীমা শেখরে কোন দেশের নাগরিক?,ভারত।,Private
test_0241,১৯৪৫ সালের মিকাওয়া ভূমিকম্পের মতো একই স্থানে কবে একই ধরনের বড় ভূমিকম্প হয়েছে?,১৬৮৫ এবং ১৬৮৬ সালে।,Public
test_0242,মোল্লা মুহাম্মদ গাউস কোথায় বিরোধী বাহিনী কর্তৃক অপহৃত হন?,মাজার-ই-শরিফ।,Public
test_0243,এলাট্টুওয়ালাপিল শ্রীধরন তাঁর প্রাথমিক শিক্ষা কোথায় অর্জন করেন?,চাতান্নুরে গভর্নমেন্ট লোয়ার প্রাইমারি স্কুল।,Public
test_0244,কখন থেকে আধালাথ পার্টি প্রধান বিরোধী মালদ্বীপ ডেমোক্রেটিক পার্টির সাথে একত্রে সরকারের দুর্নীতির অবসান এবং বিচারিক সংস্কারের আহ্বান জানিয়ে একটি সমাবেশের আয়োজন করে?,২০১৫ সালের মে।,Private
test_0245,টুঙ্গীপাড়া এক্সপ্রেস উদ্বোধন করেন কে?,প্রধানমন্ত্রী শেখ হাসিনা।,Public
test_0246,মহুয়ার বীজ থেকে কী পাওয়া যায়?,তেল।,Public
test_0247,সাত ঋদ্ধ ব্যক্তি উপাধিটি প্রাচীন গ্রিসে বসবাসকারী সাতজন ব্যক্তিত্বের কোন বৈশিষ্ট্যের জন্য দেওয়া হয়েছিল?,"দার্শনিক, রাষ্ট্রনায়ক এবং আইন প্রণেতা।",Public
test_0248,মার্কিন যুক্তরাষ্ট্রের ঐতিহাসিক অঞ্চলগুলি কীভাবে শ্রেণীবদ্ধ করা যায়?,"আন্তঃরাজ্য, আঞ্চলিক, এবং ফেডারেল।",Private
test_0249,স্ক্রিন অ্যাক্টরস গিল্ড পুরস্কার কে প্রদান করে?,আমেরিকার স্ক্রিন অ্যাক্টরস গিল্ড।,Public
test_0250,স্যাক্সনি রাজ্যের ডায়েটের সদস্যরা কার নির্দেশনা গ্রহণ করতে পারতেন না?,তাদের ভোটারদের।,Public
test_0251,গান্ধী'স অ্যাসাসিন বইটি কোন দুটি পত্রিকার লেখক পর্যালোচনা করেছেন?,দ্য টেলিগ্রাফ ইন্ডিয়া এবং ডেকান ক্রনিকল।,Private
test_0252,মুক্তিযুদ্ধের সময় পাকিস্তানি হানাদার বাহিনী মহকুমা প্রশাসক সৈয়দ রেজাউল হায়াতকে কী করে?,গ্রেফতার করে ও কারাগারে নিক্ষেপ করে।,Private
test_0253,হাজী সাহেব কোথায় তার বন্ধু মাওলাবীর মৃত্যুর খবর পান?,মারদান।,Public
test_0254,দরদ চলচ্চিত্রটি কোন দেশগুলির যৌথ প্রযোজনায় নির্মিত হয়েছে?,ভারত-বাংলাদেশ।,Public
test_0255,রেবেল মুন চলচ্চিত্রটি কবে নেটফ্লিক্সে মুক্তি পাবে?,"২২ ডিসেম্বর, ২০২৩।",Public
test_0256,জীবন মরণ চলচ্চিত্রটি কোন ভাষায় প্রথম তৈরি করা হয়েছিল?,বাংলা।,Public
test_0257,শক শব্দটি কী বোঝাতে পারে?,বিভিন্ন অর্থ।,Public
test_0258,প্রাণ-জৈব রসায়ন এবং জৈব রসায়নের মধ্যে পার্থক্য কী?,জৈবিক দিকগুলোতে জোর প্রদান।,Private
test_0259,রাজা রাজাদারিতের মৃত্যুর পর কবে হানথাওয়াদ্দি প্রভাবের অবসান ঘটে?,১৪২১ সাল।,Private
test_0260,এমআই কেপ টাউন দলটির হোম-গ্রাউন্ড কোনটি?,নিউল্যান্ডস ক্রিকেট গ্রাউন্ড।,Public
test_0261,নেবি আকাশ মসজিদটি কোথায় অবস্থিত?,সমাধির পাশে।,Public
test_0262,হার্বি হ্যানকক কোন তারিখে জন্মগ্রহণ করেন?,"১২ই এপ্রিল, ১৯৪০।",Public
test_0263,সিক্সট কোম্পানিটি কোন বছরে জার্মানির মিউনিখে প্রতিষ্ঠিত হয়?,১৯১২।,Public
test_0264,রংপুর সিটি কর্পোরেশনের আওতাধীন ১২নং ওয়ার্ডটি কোন দেশে অবস্থিত?,বাংলাদেশ।,Public
test_0265,অনির্বাণ ঘোষ কোন সালে ইউনিটি বায়োটেকনোলজির সিইও নিযুক্ত হন?,২০২০।,Public
test_0266,সূর্য কন্যা চলচ্চিত্রে প্রধান দুটি চরিত্রে অভিনয় করেছেন কারা?,বুলবুল আহমেদ ও জয়শ্রী কবির।,Public
test_0267,ইউনাইটেড নেশন্স করেসপন্ডেন্টস অ্যাসোসিয়েশনের বর্তমান সদস্য সংখ্যা কত?,১৮০ জন।,Public
test_0268,হফম্যান সরকার উত্তর বাভারিয়ার কোন শহরে পালিয়ে যায়?,বামবার্গ।,Public
test_0269,কারা জাফনা আশ্রম পরিদর্শন করেছিল এবং ভবনটির নির্মাণ কাজ শেষ করেছিল?,মার্কিন যুক্তরাষ্ট্রের ছাত্ররা।,Public
test_0270,পুংস্তনবৃন্ত কী?,একটি লিঙ্গ নির্ধারক অঙ্গ।,Public
test_0271,আলিওনা দুবিনিনা কোন বছরের অ্যাক্রোবেটিক জিমন্যাস্টিকস ওয়ার্ল্ড চ্যাম্পিয়নশিপে প্রতিদ্বন্দ্বিতা করেছিলেন?,২০১৪।,Public
test_0272,এসসি ভিলা ক্লাবটি কোন দেশের কাম্পালায় অবস্থিত?,উগান্ডা।,Private
test_0273,রবিদাসী সম্প্রদায়ের উপাসনালয়কে কখনও কখনও কী হিসেবে অনুবাদ করা হয়?,মন্দির।,Public
test_0274,কারেজ আন্ডার ফায়ার ছবিটির রেটিং কত শতাংশ রটেন টম্যাটোস-এ?,৮২%।,Public
test_0275,গেকোনিডি পরিবারের কোন প্রজাতির সরীসৃপ রয়েছে?,জেঠী ও তক্ষক।,Public
test_0276,মুফতি শফিউর রহমান কবে অবসর গ্রহণ করেন?,১৯৭২ সালে।,Private
test_0277,জিয়াউর রহমান কবে বাংলাদেশের রাষ্ট্রপতি হন?,২১ এপ্রিল ১৯৭৭।,Public
test_0278,ফেদেরিকো গাত্তোনি কোন দেশের পেশাদার ফুটবল লিগের শীর্ষ স্তরে খেলেন?,স্পেন।,Public
test_0279,যে সকল NOC-এর দুই বা ততোধিক সাঁতারু A মানের তারা কতজন সাঁতারুকে পাঠাতে পারে?,যে কোনো দুজন A মানের প্রতিযোগী।,Public
test_0280,ডেভিড এ. কোব এবং রন ফ্রাই এখন কোন স্কুলে রয়েছেন?,উভয়েই ওয়েদারহেড স্কুল অফ ম্যানেজমেন্টে।,Public
test_0281,নরওয়েতে দুগ্ধ শিল্পের পরিকাঠামো কবে তৈরি করা হয়েছিল?,দ্বিতীয় বিশ্বযুদ্ধের পরে।,Public
test_0282,কবে ওড়িশার মুখ্যমন্ত্রী কটক ও ভুবনেশ্বরের মধ্যে মেট্রো রেল সংযোগের দাবি করেছিলেন?,জানুয়ারি ২০১৮।,Public
test_0283,থিওডোর মানান কোন রাজনৈতিক দলের সদস্য হিসেবে প্রথমবার লোকসভায় নির্বাচিত হন?,গোর্খা লীগ।,Private
test_0284,কোপার্স কোন প্রধান ব্যবসাগুলি পরিচালনা করে?,"পারফরমেন্স কেমিক্যালস, রেলপথ পণ্য ও পরিষেবা, ইউটিলিটি ও শিল্প পণ্য, এবং কার্বন উপাদান ও রাসায়নিক।",Public
test_0285,ইউক্রেনীয় বাহিনী কোন শহরের দিকে আক্রমণ শুরু করে?,খেরসন।,Public
test_0286,স্টার ওয়ার্স ফ্র্যাঞ্চাইজের কোন গ্রহগুলি মরুগ্রহের উদাহরণ?,"ট্যাটুইন, জিওনোসিস ও জাক্কু।",Private
test_0287,দীর্ঘমেয়াদী ম্যাগনেসিয়াম পারক্সাইড এক্সপোজারের ফলে কোন ধরনের স্বাস্থ্য সমস্যা হতে পারে?,"ফুসফুসের ক্ষতি, শ্বাসকষ্ট এবং বুক শক্ত হয়ে যেতে পারে।",Public
test_0288,মালদ্বীপের পররাষ্ট্র মন্ত্রণালয় কবে প্রতিষ্ঠিত হয়েছিল?,২২ ডিসেম্বর ১৯৩২।,Public
test_0289,এমএস সিগারেট কোন দেশে সবচেয়ে জনপ্রিয় মার্কায় পরিণত হয়?,ইতালি।,Public
test_0290,অ্যান্টনি ডাফ শাস্তির উদ্দেশ্য কী হিসাবে বর্ণনা করেছেন?,নৈতিক আলোচনার প্রচেষ্টা।,Private
test_0291,ফ্রঁসোয়াজ বারে-সিনুসি‌ কোন ভাইরাস আবিস্কারের জন্য নোবেল পুরস্কার পান?,এইচআইভি ভাইরাস।,Private
test_0292,আদমজী হাজী দাউদ কোন সম্প্রদায়ের অনেককে পাকিস্তানে চলে যেতে রাজি করান?,মেমন এবং অন্যান্য গুজরাটি মুসলিম সম্প্রদায়।,Private
test_0293,ন্যাশনাল প্রোডাকটিভিটি অর্গানাইজেশন কোন কোন সেক্টরে উৎপাদনশীলতা উন্নয়ন নিয়ে কাজ করে?,"কৃষি, শিল্প ও সেবা সেক্টর।",Private
test_0294,ওয়েইবোতে কমপক্ষে ৫ মিলিয়ন অনুসারী সহ চীনা ক্রীড়া ক্লাবগুলির মধ্যে শানতুং থাইশান ফুটবল ক্লাবের সাথে অন্য কোন ক্লাবগুলি রয়েছে?,"বেইজিং গুয়ান, গুয়াংজু এভারগ্রান্ডে।",Private
test_0295,ধর্ম জাগরণ সমিতি কাদের বিরোধিতা করে?,খ্রিস্টান মিশনারিদের।,Public
test_0296,পদুয়া ইউনিয়নে বসবাসরত উপজাতিরা কীভাবে কথা বলে?,তাদের নিজস্ব ভাষায়।,Public
test_0297,নুরালী আলিপের জন্ম কবে হয়?,২২ ডিসেম্বর ১৯৯৯।,Private
test_0298,জন নক্স কার আশীর্বাদ নিয়ে ফ্রাঙ্কফুর্টের ইংরেজি নির্বাসনের একটি মণ্ডলী থেকে তাদের মন্ত্রীদের একজন হওয়ার আমন্ত্রণ গ্রহণ করেছিলেন?,ক্যালভিন।,Private
test_0299,প্রাণ রঞ্জন সেনগুপ্ত কোন বিশ্ববিদ্যালয় থেকে ডিএসসি সম্পন্ন করেন?,কল্যাণী বিশ্ববিদ্যালয়।,Private
test_0300,জয়নাল আবেদীনের জন্ম কবে হয়েছিল?,১ জানুয়ারি ১৯৫৪।,Private
test_0301,প্রবল তুষারঝড়ের সময় বাতাসের গতিবেগ কত হয়?,৭২ কিলোমিটার / ঘণ্টা।,Private
test_0302,বাঁকুড়া দামোদর রেলওয়ে কোন ধরনের রেল লাইন ছিল?,ন্যারো গেজ।,Public
test_0303,মুক্তিযুদ্ধে অবদান রাখার ক্ষেত্রে আবদুল্লাহিল বাকীর ভূমিকা কী ছিল?,সংগঠক।,Private
test_0304,সিঁদুরের রঙ কী এবং এর কী প্রতীক?,"লাল, শক্তি ও ভালোবাসার প্রতীক।",Public
test_0305,জরায়ুর দেহ গহ্বর কোথায় অবস্থিত?,জরায়ু দেহের পশ্চাৎপূর্ব স্থানে।,Private
test_0306,পেন্সিল প্যান্ট সাধারণত কোন ধরনের উপাদান দিয়ে তৈরি করা হয়?,প্রসারণযোগ্য উপাদান।,Public
test_0307,নোকিয়া ৩ এর জন্য এইচএমডি গ্লোবাল কবে অ্যান্ড্রয়েড ওরিও আপডেট প্রকাশ করেছে?,"২০ ডিসেম্বর, ২০১৮।",Public
test_0308,বি. এন. বাচে গৌড়া কোন রাজনৈতিক দলের সাথে যুক্ত?,ভারতীয় জনতা পার্টি।,Public
test_0309,অপ্পর কোন শতাব্দীতে বাস করতেন?,৭ ম শতাব্দী।,Public
test_0310,শামীম হাসান সরকারের ইউটিউব চ্যানেলের সাবস্ক্রাইবার সংখ্যা কত?,এক মিলিয়নেরও বেশি।,Private
test_0311,হার্ডকোর পাঙ্ক ব্যান্ডগুলো তাদের অ্যালবাম প্রকাশ ও বিতরণের জন্য কীভাবে কাজ করে?,নিজস্ব রেকর্ড লেবেল।,Public
test_0312,"কোন সময়ে ""রাশ আওয়ার"" বা ""পিক পিরিয়ড"" সবচেয়ে বেশি প্রযোজ্য?",সকালবেলা এবং বিকেল।,Public
test_0313,নরকাসুরের কর্মকাণ্ডের সময় শ্রীকৃষ্ণ কোথায় রাজ্য প্রতিষ্ঠা করেন?,গুজরাট অঞ্চল।,Public
test_0314,ফ্রাঙ্ক ই. পেরেত্তির কোন উপন্যাসে আধ্যাত্মিক যুদ্ধের জনপ্রিয় কাল্পনিক চিত্রাঙ্কন পাওয়া যায়?,"""দিস প্রেজেন্ট ডার্কনেস"" এবং ""পিয়ার্সিং দ্য ডার্কনেস""।",Private
test_0315,বেলুড় মঠের মন্দিরের ভিত্তিপ্রস্তর কবে স্থাপিত হয়?,"১৬ মার্চ, ১৯৩৫।",Private
test_0316,তরুন ঘোষ কোন চলচ্চিত্রে শিল্প নির্দেশনা দেয়ার জন্য শ্রেষ্ঠ শিল্প নির্দেশক বিভাগে জাতীয় চলচ্চিত্র পুরস্কার লাভ করেন?,কিত্তনখোলা।,Private
test_0317,নৈশক্লাবগুলোতে কোন ধরনের সংগীত বাজানো হয়?,নির্দিষ্ট ধাচের সংগীত।,Public
test_0318,পতঞ্জলির যোগসূত্রে ভঙ্গির গুরুত্ব কী?,যোগের লক্ষ্যগুলি তৈরি করে না।,Public
test_0319,দেশ সেবক পার্টি কোন বছরে নিখিল ভারত ফরওয়ার্ড ব্লকের সাথে একীভূত হয়?,১৯৪৯।,Public
test_0320,উত্তর হলিউড হাই স্কুলে কতজন শিক্ষার্থী নথিভুক্ত আছে?,"প্রায় ২,৫০০।",Public
test_0321,কোন পুরাণে জেউক্সিপ্পে নামের উল্লেখ পাওয়া যায়?,গ্রিক পুরাণ।,Public
test_0322,আদিম বা আদি তাঁতে বস্ত্র বয়নের জন্য মাকুটিকে কীভাবে পেরন করা হয়?,হাতের সাহায্যে ছুঁড়ে।,Public
test_0323,আগে অণুজীববিজ্ঞানকে বিবর্তনীয় জীববিজ্ঞানের ভেতরে কেন অন্তর্ভুক্ত করা হত না?,প্রজাতি ধারণার অভাব এবং প্রাণীদের শারীরিক বৈশিষ্ট্য সম্পর্কে তথ্যের স্বল্পতা।,Private
test_0324,শ্যামগ্রাম ইউনিয়নের প্রশাসনিক কার্যক্রম কোন থানার আওতাধীন?,নবীনগর।,Public
test_0325,ন্যাশনাল পোর্ট্রেট গ্যালারির আঞ্চলিক দূরবর্তী শাখা কোথায় অবস্থিত?,ইয়র্কশায়ারের বেনিংব্রো হল এবং সমারসেটের মন্টাকিউট হাউস।,Public
test_0326,গুসকরা বিমানঘাঁটি কোন জেলায় অবস্থিত?,পূর্ব বর্ধমান।,Public
test_0327,ভগবন্ত রায় কোন দেশের রাজনীতিবিদ ছিলেন?,ভারত।,Public
test_0328,"মালাউইর জাতীয় সঙ্গীতের নাম কী, যা মাইকেল ফ্রেদরিক পাউল সাউক রচনা করেছেন?",মুলুঙ্গু দালিটসা মালাউই।,Public
test_0329,যুক্তরাজ্যের কোন দেশগুলো একত্রে গ্রেট ব্রিটেন নামে পরিচিত?,"ইংল্যান্ড, স্কটল্যান্ড ও ওয়েলস।",Public
test_0330,ইমরান খান মোহমান্দ কোন অঞ্চলের নবনির্বাচিত এমপিএ ফরিদ খানকে লক্ষ্যবস্তু হিসেবে হত্যার পর বিধানসভার দ্বিতীয় সদস্য ছিলেন?,খাইবার পাখতুনখোয়া।,Public
test_0331,এআইডব্লিউসি কবে লেডি আরউইন কলেজ অফ ডোমেস্টিক সায়েন্স খোলার জন্য অর্থ সংগ্রহ করতে শুরু করে?,১৯২৮।,Private
test_0332,লোক জনশক্তি পার্টির অন্য নাম কী?,রামবিলাস।,Public
test_0333,জিনোদপুর ইউনিয়নের মোট আয়তন কত?,১২.৫৫ বর্গ কিলোমিটার।,Private
test_0334,বরুণ চন্দ কোন চলচ্চিত্রে অভিনয়ের জন্য বেশি পরিচিত?,সীমাবদ্ধ।,Private
test_0335,মূল মন্ত্রের প্রথম দুটি শব্দের বিভিন্ন অনুবাদ কী?,"""একজন ঈশ্বর আছেন"", ""একটিই বাস্তবতা"", ""এই সত্ত্বা একক""।",Private
test_0336,ওড়িশা ফুটবল ক্লাব মহিলা কোন লিগে প্রতিযোগিতা করে?,ভারতীয় মহিলা লিগ।,Public
test_0337,অটল বিহারী বাজপেয়ীর প্রস্তাবে এআইএডিএমকে জোট থেকে প্রত্যাহার করার কারণ কী ছিল?,জোটের স্বার্থ রক্ষা।,Private
test_0338,মালদ্বীপে কত বছরের বেশি বয়সী আসামীদের জন্য মৃত্যুদণ্ড একটি আইনি শাস্তি?,সাত বছরের বেশি।,Private
test_0339,প্রোক্নের ভাইবোনদের নাম কী?,"দ্বিতীয় এরেখথেউস, বৌতেস, ফিলোমেলা ও দ্বিতীয় কেক্রপ্স।",Public
test_0340,ডেনি ভ্রান্দেচিচ কবে থেকে কবে পর্যন্ত উইকিমিডিয়া ফাউন্ডেশনের ট্রাস্টি বোর্ডে কাজ করেছেন?,২০১৫ থেকে ২০১৬।,Private
test_0341,রংপুর সিটি কর্পোরেশনের কোন ওয়ার্ডটি পরশুরাম থানার আওতাধীন?,৩নং ওয়ার্ড।,Public
test_0342,সরদার আমজাদ আলী কবে থেকে কবে রাজ্যসভার সদস্য ছিলেন?,১৯৭২ থেকে ১৯৭৮।,Public
test_0343,ভারতে সর্বাধিক বিশিষ্ট চলচ্চিত্র পুরস্কার কোনটি?,জাতীয় চলচ্চিত্র পুরস্কার।,Public
test_0344,স্থানীয় খাদ্য ব্যবস্থায় কৃষকদের জন্য কী ধরনের সুবিধা থাকতে পারে?,উন্নত মানের জীবন।,Private
test_0345,খালিদ বিন ওয়ালিদ এবং আমর ইবনুল আস কার কাছে এসে ইসলাম গ্রহণ করেন?,মুহাম্মাদ।,Public
test_0346,ইউরোপিয়ান্স ক্রিকেট দল কোন দেশে অবস্থিত ছিল?,শ্রীলঙ্কা।,Private
test_0347,তপন বাগচীর সাহিত্যিক অবদানের মধ্যে কী অন্যতম?,গল্প সংকলন।,Public
test_0348,লাদন কোন সম্পদের প্রহরী ছিল?,হেস্পেরিদেসের সোনার আপেল।,Private
test_0349,পলিদেক্তেস কোন দ্বীপের রাজা ছিল?,সেরিফস।,Public
test_0350,হের্টা মুলারের পিতা কী পেশায় নিয়োজিত ছিলেন?,দোকানদার।,Private
test_0351,উজবেকিস্তান জাতীয় মহিলা ফুটবল দল কোন মহাদেশে অবস্থিত?,এশিয়া।,Public
test_0352,আলিশার করিমভ ২০১৮ সালের দাবা অলিম্পিয়াডে প্রথম রিজার্ভে কত স্কোর করেছিলেন?,৬/৯।,Public
test_0353,ক্রসিং ওভার বিন্দুগুলি কীভাবে কায়াজমা হিসাবে দৃশ্যমান হয়?,হোমোলোগাস ক্রোমোজোমগুলি একে অপরের থেকে কিছুটা দূরে সরে যাওয়ার পরে।,Private
test_0354,পূর্বএশীয় বৌদ্ধধর্মের ইতিহাসে ধারণী কোন ভূমিকা পালন করেছে?,সন্ন্যাসীদের প্রশিক্ষণের অপরিহার্য অংশ।,Public
test_0355,উত্তম ইউনিয়নের বর্তমান অবস্থা কী?,সাবেক ইউনিয়ন।,Private
test_0356,সায়লা কুমার মুখোপাধ্যায় কোন রাজনৈতিক দলের সাথে যুক্ত ছিলেন?,ভারতীয় জাতীয় কংগ্রেস।,Public
test_0357,মিতাক্ষরা পাঠ্যটি কোন অঞ্চলে কর্তৃত্বে পরিণত হয়েছে?,ভারতবর্ষের বেশিরভাগ অংশ।,Public
test_0358,পিথেকপস ফুলজেনস প্রজাতির প্রজাপতি ভারতের বন্যপ্রাণ সংরক্ষণ আইন অনুসারে কোন তফসিলে অন্তর্ভুক্ত?,তফসিল ২।,Public
test_0359,জাতির পিতার পরিবার-সদস্যগণের নিরাপত্তা আইন কবে বাতিলের সিদ্ধান্ত গ্রহণ করা হয়?,"২৯ আগস্ট, ২০২৪।",Public
test_0360,আকাশতরীতে কীভাবে ঝুলন্ত কামরা বা প্রকোষ্ঠ থাকে?,বহিরাবরণীটির নিচে দড়ি বা রজ্জুর মাধ্যমে ঝুলে থাকে।,Public
test_0361,নকশি কাঁথার অন্য নাম কী?,লহরী কাঁথা।,Public
test_0362,"তথ্য ও যোগাযোগ প্রযুক্তি আইন, ২০০৬ এর একটি মামলায় আলোকচিত্রী শহিদুল আলমের জামিন শুনানি কবে পিছিয়ে দেওয়া হয়?",৪ সেপ্টেম্বর।,Public
test_0363,সিজেডএন বুরাকের ডাকনামটি কোথা থেকে এসেছে?,লালেলিতে তার বাবার টেক্সটাইল দোকানের নাম সিনজানোউয়ের ঘন ঘন ভুল উচ্চারণ।,Public
test_0364,দ্বিতীয় ঈশ্বর গুপ্ত সেতুর নির্মাণ কাজ শুরু করার জন্য অনুষ্ঠান কোন বছরে অনুষ্ঠিত হয়েছিল যা খ্রিস্টাব্দের সাথে সম্পর্কিত?,২০১৮ খ্রিস্টাব্দ।,Public
test_0365,"ভারত সরকার কাকে বহিষ্কার করেন পরবর্তীকালে, এর প্রতিবাদস্বরূপ?",একজন শীর্ষস্থানীয় কানাডীয় কূটনীতিক।,Public
test_0366,বুলেটপ্রুফ স্তরগুলিতে ব্যবহৃত কাচের প্রতিসরণের সূচক কীভাবে হওয়া উচিত?,প্রায় একই।,Public
test_0367,কর্ণাটক ক্রান্তি রাঙ্গা কোন দলের সাথে একীভূত হয়?,জনতা পার্টি।,Private
test_0368,দ্রৌপদী দেবী আগরওয়ালা বর্তমানে কোন পদে দায়িত্ব পালন করছেন?,ঠাকুরগাঁও জেলা মহিলা লীগের সভাপতি।,Public
